Area,Date,Mean_TemperatureF
SFO,1/1/14,49
SFO,1/2/14,53
SFO,1/3/14,54
SFO,1/4/14,55
SFO,1/5/14,55
SFO,1/6/14,52
SFO,1/7/14,54
SFO,1/8/14,56
SFO,1/9/14,56
SFO,1/10/14,54
SFO,1/11/14,52
SFO,1/12/14,53
SFO,1/13/14,55
SFO,1/14/14,58
SFO,1/15/14,61
SFO,1/16/14,60
SFO,1/17/14,56
SFO,1/18/14,55
SFO,1/19/14,55
SFO,1/20/14,55
SFO,1/21/14,56
SFO,1/22/14,55
SFO,1/23/14,57
SFO,1/24/14,55
SFO,1/25/14,57
SFO,1/26/14,57
SFO,1/27/14,54
SFO,1/28/14,59
SFO,1/29/14,59
SFO,1/30/14,55
SFO,1/31/14,54
SFO,2/1/14,51
SFO,2/2/14,53
SFO,2/3/14,51
SFO,2/4/14,50
SFO,2/5/14,49
SFO,2/6/14,50
SFO,2/7/14,54
SFO,2/8/14,56
SFO,2/9/14,57
SFO,2/10/14,54
SFO,2/11/14,53
SFO,2/12/14,51
SFO,2/13/14,59
SFO,2/14/14,61
SFO,2/15/14,57
SFO,2/16/14,57
SFO,2/17/14,54
SFO,2/18/14,55
SFO,2/19/14,57
SFO,2/20/14,56
SFO,2/21/14,58
SFO,2/22/14,56
SFO,2/23/14,55
SFO,2/24/14,58
SFO,2/25/14,55
SFO,2/26/14,57
SFO,2/27/14,60
SFO,2/28/14,58
SFO,3/1/14,58
SFO,3/2/14,56
SFO,3/3/14,55
SFO,3/4/14,58
SFO,3/5/14,62
SFO,3/6/14,59
SFO,3/7/14,57
SFO,3/8/14,58
SFO,3/9/14,65
SFO,3/10/14,61
SFO,3/11/14,63
SFO,3/12/14,65
SFO,3/13/14,64
SFO,3/14/14,61
SFO,3/15/14,64
SFO,3/16/14,60
SFO,3/17/14,59
SFO,3/18/14,60
SFO,3/19/14,61
SFO,3/20/14,60
SFO,3/21/14,57
SFO,3/22/14,56
SFO,3/23/14,57
SFO,3/24/14,60
SFO,3/25/14,55
SFO,3/26/14,58
SFO,3/27/14,60
SFO,3/28/14,63
SFO,3/29/14,57
SFO,3/30/14,56
SFO,3/31/14,53
SFO,4/1/14,54
SFO,4/2/14,54
SFO,4/3/14,57
SFO,4/4/14,56
SFO,4/5/14,57
SFO,4/6/14,62
SFO,4/7/14,69
